Site.Code,Sampling.Unit.Name,Sampling.Period,Temp.Min,Temp.Max,Temp.Var,Year
PSH,CT-PSH-1-26,2012.01,22,33,5.808995429,2012
PSH,CT-PSH-1-23,2012.01,21,29,2.64017693,2012
PSH,CT-PSH-1-21,2012.01,23,28,1.152073733,2012
PSH,CT-PSH-1-22,2012.01,22,27,2.495327103,2012
PSH,CT-PSH-1-19,2012.01,21,27,2.308966636,2012
PSH,CT-PSH-1-20,2012.01,22,30,3.965604075,2012
PSH,CT-PSH-1-17,2012.01,23,24,0.200534759,2012
PSH,CT-PSH-1-15,2012.01,23,29,1.43655914,2012
PSH,CT-PSH-1-16,2012.01,23,30,5.729986431,2012
PSH,CT-PSH-1-14,2012.01,22,27,2.260518553,2012
PSH,CT-PSH-1-12,2012.01,21,27,2.688379705,2012
PSH,CT-PSH-1-13,2012.01,27,29,0.664773433,2012
PSH,CT-PSH-1-11,2012.01,23,27,1.058823529,2012
PSH,CT-PSH-2-03,2012.01,19,23,1.764338286,2012
PSH,CT-PSH-2-30,2012.01,21,24,0.548860518,2012
PSH,CT-PSH-1-08,2012.01,22,31,3.987133315,2012
PSH,CT-PSH-1-09,2012.01,22,37,8.743818561,2012
PSH,CT-PSH-1-10,2012.01,20,34,5.145010965,2012
PSH,CT-PSH-2-27,2012.01,22,23,0.169578623,2012
PSH,CT-PSH-2-28,2012.01,24,24,0,2012
PSH,CT-PSH-2-16,2012.01,21,23,0.898876404,2012
PSH,CT-PSH-1-03,2012.01,21,28,4.088134791,2012
PSH,CT-PSH-1-04,2012.01,22,32,7.786372007,2012
PSH,CT-PSH-1-05,2012.01,19,24,1.067212302,2012
PSH,CT-PSH-1-01,2012.01,22,28,3.409961686,2012
PSH,CT-PSH-1-02,2012.01,22,28,4.523621649,2012
PSH,CT-PSH-2-25,2012.01,25,25,0,2012
PSH,CT-PSH-2-26,2012.01,22,22,0,2012
PSH,CT-PSH-2-20,2012.01,23,23,0,2012
PSH,CT-PSH-2-21,2012.01,20,20,0,2012
PSH,CT-PSH-2-22,2012.01,21,25,1.863354037,2012
PSH,CT-PSH-2-17,2012.01,21,25,1.656215915,2012
PSH,CT-PSH-2-18,2012.01,22,23,0.223463687,2012
PSH,CT-PSH-2-19,2012.01,22,27,3.640793596,2012
PSH,CT-PSH-2-13,2012.01,20,20,0,2012
PSH,CT-PSH-2-14,2012.01,22,25,0.651616162,2012
PSH,CT-PSH-2-09,2012.01,22,26,1.392857143,2012
PSH,CT-PSH-2-08,2012.01,23,25,0.450375313,2012
PSH,CT-PSH-2-10,2012.01,20,24,1.08559499,2012
PSH,CT-PSH-2-04,2012.01,22,23,0.263157895,2012
PSH,CT-PSH-2-05,2012.01,20,26,2.711409396,2012
PSH,CT-PSH-2-06,2012.01,18,22,1.94918204,2012
PSH,CT-PSH-2-01,2012.01,21,25,1.539149888,2012
PSH,CT-PSH-1-02,2013.01,20,33,16.94578103,2013
PSH,CT-PSH-1-22,2013.01,22,28,1.693102231,2013
PSH,CT-PSH-3-27,2013.01,23,29,1.952260111,2013
PSH,CT-PSH-1-21,2013.01,21,25,1.254043543,2013
PSH,CT-PSH-3-24,2013.01,22,27,3.497936669,2013
PSH,CT-PSH-3-19,2013.01,22,29,3.436704114,2013
PSH,CT-PSH-3-25,2013.01,25,29,2.333333333,2013
PSH,CT-PSH-1-26,2013.01,23,33,8.920819928,2013
PSH,CT-PSH-1-08,2013.01,23,27,2.268907563,2013
PSH,CT-PSH-3-06,2013.01,23,29,2.178571429,2013
PSH,CT-PSH-3-28,2013.01,23,28,3.599666976,2013
PSH,CT-PSH-3-05,2013.01,22,29,1.317976824,2013
PSH,CT-PSH-3-23,2013.01,21,37,13.53707371,2013
PSH,CT-PSH-3-02,2013.01,23,29,3.799211492,2013
PSH,CT-PSH-3-09,2013.01,24,24,0,2013
PSH,CT-PSH-3-30,2013.01,22,27,1.333349925,2013
PSH,CT-PSH-1-25,2013.01,22,29,2.094760389,2013
PSH,CT-PSH-1-16,2013.01,24,36,4.031794299,2013
PSH,CT-PSH-3-14,2013.01,23,30,3.979476959,2013
PSH,CT-PSH-3-08,2013.01,21,26,3.129111658,2013
PSH,CT-PSH-3-20,2013.01,22,27,3.088029809,2013
PSH,CT-PSH-1-03,2013.01,21,26,3.550922213,2013
PSH,CT-PSH-3-10,2013.01,23,30,2.657029178,2013
PSH,CT-PSH-3-26,2013.01,23,29,4.809901619,2013
